"","Última Execução","Álbum Artista","Album","Artista","Título","Ano","classificação","Gênero","Compositor","Agrupar","Faixa #","Nota","BPM","Duração","Bit rate","ReplayGain","","Data Adicionada","LOCALIZAÇÃO","Comentário","Color"
"0","","","Fujify Your Soul","Adewale Ayuba","Koloba Koloba","2023","0","","","","","3A","125.0000","3:35","320","-8.00874 dB","mp3","2025-08-03T17:03:30.197","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Koloba Koloba.mp3","",""
"0","","","Shayo (Remix)","Little Lagos Records/Bigiano/Magnito","Shayo - Instrumental","2025","0","","","","","11A","113.0000","4:04","320","1.46089 dB","mp3","2025-08-03T17:03:30.252","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Shayo - Instrumental.mp3","",""
"0","","","Shayo (Remix)","Little Lagos Records/Bigiano/Magnito/Jamie Black","Shayo - Jamie Black Extended Remix","2025","0","","","","","11A","113.0000","4:04","320","-7.30407 dB","mp3","2025-08-03T17:03:30.266","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Shayo - Jamie Black Extended Remix.mp3","",""
"0","","","Cartel (Chinese)","Magnito/Mark Owi/Masterlee","Cartel - Chinese","2024","0","","","","","10B","112.0000","3:43","320","-7.15992 dB","mp3","2025-08-03T17:03:30.280","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Cartel - Chinese.mp3","",""
"0","","","Shayo (Remix)","Little Lagos Records/Bigiano/Magnito/Jamie Black","Shayo - Jamie Black Remix","2025","0","","","","","11A","113.0000","3:20","320","-7.68205 dB","mp3","2025-08-03T17:03:30.294","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Shayo - Jamie Black Remix.mp3","",""
"0","","","Raggamuffin Reloaded","SHY FX/Chronixx/S.P.Y","Bye Bye Bye (feat. Chronixx) - S.P.Y Remix","2020","0","","","","","12A","175.0000","4:17","320","-9.93411 dB","mp3","2025-08-03T17:03:30.307","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Bye Bye Bye (feat. Chronixx) - S.P.Y Remix.mp3","",""
"0","","","Raggamuffin SoundTape","SHY FX/Lily Allen/Stamina MC","Roll The Dice (feat. Stamina MC & Lily Allen)","2019","0","","","","","6B","172.0000","3:28","320","-9.73949 dB","mp3","2025-08-03T17:03:30.347","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Roll The Dice (feat. Stamina MC & Lily Allen).mp3","",""
"2","2025-08-24T13:53:21.000","","Laho II","Shallipopi/Burna Boy","Laho II","2025","0","","","","","3A","110.0000","2:37","320","-8.29844 dB","mp3","2025-08-03T17:03:30.387","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Laho II.mp3","",""
"0","","","ZAAZAA","Frenna/Shallipopi","ZAAZAA","2025","0","","","","","11A","117.0000","2:36","320","-9.58714 dB","mp3","2025-08-03T17:03:30.402","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/ZAAZAA.mp3","",""
"1","2025-08-24T13:17:21.000","","Presido La Pluto","Shallipopi","Things on Things","2023","0","","","","","6A","115.0000","3:16","320","-8.01043 dB","mp3","2025-08-03T17:03:30.415","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Things on Things.mp3","",""
"1","2025-08-24T13:55:17.000","","Pabi Jo (feat. Lajere man & DJ DADAMAN)","Pabi Cooper/Focalistic/Thebuu/Lajere man/DJ DADAMAN","Pabi Jo (feat. Lajere man & DJ DADAMAN)","2024","0","","","","","3A","112.0000","5:52","320","-6.72543 dB","mp3","2025-08-03T17:03:30.429","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Pabi Jo (feat. Lajere man & DJ DADAMAN).mp3","",""
"1","2025-08-24T13:48:27.000","","Nobody Can Stop Mguzu, Vol. 1","uLazi/Infinity MusiQ","Runner","2023","0","","","","","2A","112.0000","6:25","320","1.37822 dB","mp3","2025-08-03T17:03:30.442","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Runner.mp3","",""
"0","","","Ngibolekeni (feat. Seun1401, LeeMcKrazy, Blxckie, Pcee, Madumane & Kabelo Sings)","DJ Maphorisa/Xduppy/Scotts Maphuma/Seun1401/LeeMcKrazy/Blxckie/Pcee/Madumane/Kabelo Sings","Ngibolekeni (feat. Seun1401, LeeMcKrazy, Blxckie, Pcee, Madumane & Kabelo Sings)","2025","0","","","","","10A","112.0000","9:38","320","-5.8993 dB","mp3","2025-08-03T17:03:30.456","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ngibolekeni (feat. Seun1401, LeeMcKrazy, Blxckie, Pcee, Madumane & Kabelo Sings).mp3","",""
"1","2025-08-24T13:19:31.000","","Nobody Can Stop Mguzu, Vol. 1","uLazi/Infinity MusiQ/El-Kay MusiQ/El-Keys","325 i","2023","0","","","","","5A","112.0000","7:47","320","-0.101416 dB","mp3","2025-08-03T17:03:30.469","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/325 i.mp3","",""
"1","2025-08-24T13:23:53.000","","Funk Series","Shakes & Les/Djy Zan SA/Djy Biza","Funk Dala","2024","0","","","","","5A","113.0000","7:30","320","-0.343206 dB","mp3","2025-08-03T17:03:30.483","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Funk Dala.mp3","",""
"1","2025-08-24T13:26:39.000","","Nobody Can Stop Mguzu, Vol. 1","uLazi/El-Kay MusiQ/El-Keys","Let's Dance Tonight","2023","0","","","","","6A","112.0000","6:02","320","-1.91909 dB","mp3","2025-08-03T17:03:30.496","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Let's Dance Tonight.mp3","",""
"2","2025-09-07T12:44:53.000","","Presido La Pluto","Shallipopi/Focalistic","Over the Seas","2023","0","","","","","5B","113.0000","2:49","320","-7.7804 dB","mp3","2025-08-03T17:03:30.509","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Over the Seas.mp3","",""
"1","2025-08-24T13:58:51.000","","Presido La Pluto","Shallipopi","Evil Receive","2023","0","","","","","3A","108.0000","3:51","320","-8.93719 dB","mp3","2025-08-03T17:03:30.523","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Evil Receive.mp3","",""
"1","2025-08-24T13:29:19.000","","Funk Series","Shakes & Les/Djy Biza","Funk 2 Jive","2024","0","","","","","6A","113.0000","5:41","320","-1.18301 dB","mp3","2025-08-03T17:03:30.536","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Funk 2 Jive.mp3","",""
"1","2025-08-24T13:30:39.000","","ROUGH DANCE","DJ Maphorisa/Xduppy/LeeMcKrazy/Scotts Maphuma/TNK MusiQ/LastBornDiroba","Abo Nokuthula Revisit (feat. LeeMcKrazy, Scotts Maphuma, TNK MusiQ & LastBornDiroba)","2025","0","","","","","6A","112.0000","6:18","320","-5.9475 dB","mp3","2025-08-03T17:03:30.549","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Abo Nokuthula Revisit (feat. LeeMcKrazy, Scotts Maphuma, TNK MusiQ & LastBornDiroba).mp3","",""
"0","","","Presido La Pluto","Shallipopi","Never Ever","2023","0","","","","","11A","100.0000","2:24","320","-9.08982 dB","mp3","2025-08-03T17:03:30.563","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Never Ever.mp3","",""
"0","","","Laho","Shallipopi","Laho","2025","0","","","","","3A","110.0000","2:24","320","-7.43065 dB","mp3","2025-08-03T17:03:30.577","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Laho.mp3","",""
"1","2025-08-24T13:33:53.000","","Presido La Pluto","Shallipopi","Iyo","2023","0","","","","","6B","115.0000","2:29","320","-9.14261 dB","mp3","2025-08-03T17:03:30.591","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Iyo.mp3","",""
"0","","","Uyaphapha Marn (feat. Scotts Maphuma & Kabelo Sings)","TNK MusiQ/DJ Maphorisa/Seun1401/Scotts Maphuma/Kabelo Sings","Uyaphapha Marn (feat. Scotts Maphuma & Kabelo Sings)","2025","0","","","","","11A","113.0000","7:17","320","-9.2859 dB","mp3","2025-08-03T17:03:30.606","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Uyaphapha Marn (feat. Scotts Maphuma & Kabelo Sings).mp3","",""
"0","","","Presido La Pluto","Tekno/Shallipopi","So what?","2023","0","","","","","2A","114.0000","2:44","320","-9.65296 dB","mp3","2025-08-03T17:03:30.620","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/So what?.mp3","",""
"0","","","Presido La Pluto","Shallipopi","Jungle","2023","0","","","","","3B","87.0000","3:12","320","-8.47942 dB","mp3","2025-08-03T17:03:30.633","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Jungle.mp3","",""
"0","","","ROUGH DANCE","DJ Maphorisa/Xduppy/Mpura/Killer Kau/MDU aka TRP/Professor","Ghost (feat. Killer Kau, Mdu aka TRP & Professor)","2025","0","","","","","9A","112.0000","8:34","320","-5.45871 dB","mp3","2025-08-03T17:03:30.646","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ghost (feat. Killer Kau, Mdu aka TRP & Professor).mp3","",""
"0","","","HAMBA NABO","Shakes & Les/Fake'Well/Scotts Maphuma/Uncool MC","HAMBA NABO","2025","5","","","","","9A","113.0000","7:35","320","-3.65384 dB","mp3","2025-08-03T17:03:30.660","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/HAMBA NABO.mp3","",""
"0","","","Nobody Can Stop Mguzu, Vol. 1","uLazi/Infinity MusiQ","yey","2023","0","","","","","3A","112.0000","6:21","320","-0.647085 dB","mp3","2025-08-03T17:03:30.673","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/yey.mp3","",""
"0","","","Elon musk","Shallipopi","Elon musk","2023","0","","","","","5A","112.0000","3:15","320","-9.90769 dB","mp3","2025-08-03T17:03:30.686","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Elon musk.mp3","",""
"0","","","Presido La Pluto","Shallipopi","Oscroh (Pepperline)","2023","0","","","","","2A","112.0000","2:44","320","-8.02354 dB","mp3","2025-08-03T17:03:30.700","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Oscroh (Pepperline).mp3","",""
"0","","","Presido La Pluto","Shallipopi","Jonze","2023","0","","","","","8A","114.0000","3:13","320","-9.50965 dB","mp3","2025-08-03T17:03:30.713","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Jonze.mp3","",""
"0","","","Elon Musk (Remix)","Shallipopi/Zlatan","Elon Musk - Remix","2023","0","","","","","5A","112.0000","3:00","320","-8.86255 dB","mp3","2025-08-03T17:03:30.726","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Elon Musk - Remix.mp3","",""
"0","","","ROUGH DANCE","DJ Maphorisa/Xduppy/DJ Tira/Dladla Mshunqisi/Focalistic/Dark Silver","Woza Uzizwele Revisit (feat. Dladla Mshunqisi, Focalistic & Dark Silver)","2025","0","","","","","2A","112.0000","6:01","320","-4.75546 dB","mp3","2025-08-03T17:03:30.739","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Woza Uzizwele Revisit (feat. Dladla Mshunqisi, Focalistic & Dark Silver).mp3","",""
"0","","","INDODANA YAKHE","Nandipha808/Ceeka RSA/Shakes & Les","Trick Or Treat","2025","0","","","","","11B","112.0000","7:34","320","-6.34277 dB","mp3","2025-08-03T17:03:30.752","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Trick Or Treat.mp3","",""
"1","2025-08-24T13:40:07.000","","ROUGH DANCE","DJ Maphorisa/Xduppy/Enny Man Da Guitar/Focalistic/Ricky Lenyora/Uncool MC/Mellow & Sleazy","Dlala Ka Yona (feat. Focalistic, Ricky Lenyora, Uncool MC & Mellow & Sleazy)","2025","5","","","","","3B","112.0000","7:08","320","-3.96471 dB","mp3","2025-08-03T17:03:30.765","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Dlala Ka Yona (feat. Focalistic, Ricky Lenyora, Uncool MC & Mellow & Sleazy).mp3","",""
"0","","","ROUGH DANCE","DJ Maphorisa/Xduppy/Mbuxx/Scotts Maphuma/TOSS","Sangena (feat. Scotts Maphuma & Toss)","2025","0","","","","","3B","113.0000","6:27","320","-5.21364 dB","mp3","2025-08-03T17:03:30.778","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Sangena (feat. Scotts Maphuma & Toss).mp3","",""
"0","","","Nobody Can Stop Mguzu, Vol. 1","uLazi/Infinity MusiQ","Inspector","2023","0","","","","","3A","112.0000","6:25","320","1.01589 dB","mp3","2025-08-03T17:03:30.792","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Inspector.mp3","",""
"0","","","Nobody Can Stop Mguzu, Vol. 1","uLazi","3 Man down","2023","0","","","","","2A","112.0000","6:36","320","-5.07779 dB","mp3","2025-08-03T17:03:30.805","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/3 Man down.mp3","",""
"0","","","Nobody Can Stop Mguzu, Vol. 1","uLazi/Thama Tee/Gene/Piano Killer","MOZACARDI MGUZU","2023","0","","","","","6A","113.0000","5:31","320","-4.01781 dB","mp3","2025-08-03T17:03:30.818","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/MOZACARDI MGUZU.mp3","",""
"0","","","Nobody Can Stop Mguzu, Vol. 1","uLazi/Infinity MusiQ","super strikes","2023","0","","","","","5A","112.0000","6:59","320","-1.18564 dB","mp3","2025-08-03T17:03:30.831","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/super strikes.mp3","",""
"0","","","NGOMOYA","DJ Maphorisa/Xduppy/Kabza De Small/Thatohatsi/Young Stunna/Nkosazana Daughter","Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)","2025","0","","","","","5B","113.0000","8:38","320","-6.07802 dB","mp3","2025-08-03T17:03:30.845","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter).mp3","",""
"0","","","Nobody Can Stop Mguzu, Vol. 1","uLazi/Infinity MusiQ","Ghost","2023","0","","","","","9A","112.0000","6:25","320","-1.73363 dB","mp3","2025-08-03T17:03:30.859","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ghost.mp3","",""
"0","","","ROUGH DANCE","DJ Maphorisa/Xduppy/Seun1401/Mellow & Sleazy/Kabelo Sings","Ke System (feat. Mellow & Sleazy & Kabelo Sings)","2025","0","","","","","7A","112.0000","6:19","320","-3.74833 dB","mp3","2025-08-03T17:03:30.872","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Ke System (feat. Mellow & Sleazy & Kabelo Sings).mp3","",""
"0","","","ROUGH DANCE","DJ Maphorisa/Xduppy/DJ Tira/Al Xapo/Ricky Lenyora","Tse Monate (feat. Al Xapo & Ricky Lenyora)","2025","0","","","","","2A","112.0000","5:25","320","-5.03409 dB","mp3","2025-08-03T17:03:30.885","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Tse Monate (feat. Al Xapo & Ricky Lenyora).mp3","",""
"0","","","Asibe Happy","Kabza De Small/DJ Maphorisa/Ami Faku","Asibe Happy","2021","0","","","","","9B","113.0000","7:38","320","-2.51804 dB","mp3","2025-08-03T17:03:30.898","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Asibe Happy.mp3","",""
"0","","","ROUGH DANCE","DJ Maphorisa/Xduppy/Uncool MC/Scotts Maphuma/LeeMcKrazy/EeQue/LastBornDiroba/Kabelo Sings","Weekend (feat. Scotts Maphuma, LeeMcKrazy, EeQue, LastBornDiroba & Kabelo Sings)","2025","0","","","","","3B","112.0000","6:17","320","-6.08275 dB","mp3","2025-08-03T17:03:30.911","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Weekend (feat. Scotts Maphuma, LeeMcKrazy, EeQue, LastBornDiroba & Kabelo Sings).mp3","",""
"0","","","ROUGH DANCE","DJ Maphorisa/Xduppy/Zee Nxumalo/Daliwonga/Seun1401","Hlangene (feat. Daliwonga & Seun1401)","2025","0","","","","","8A","113.0000","7:28","320","-9.48055 dB","mp3","2025-08-03T17:03:30.924","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Hlangene (feat. Daliwonga & Seun1401).mp3","",""
"1","2025-08-24T13:45:07.000","","Nobody Can Stop Mguzu, Vol. 1","uLazi/El-Kay MusiQ/El-Keys","Broken English","2023","0","","","","","1A","112.0000","6:19","320","-2.14882 dB","mp3","2025-08-03T17:03:30.938","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Broken English.mp3","",""
"0","","","ROUGH DANCE","DJ Maphorisa/Xduppy/Uncool MC/LeeMcKrazy/Seun1401","Madibuseng (feat. Uncool MC, LeeMcKrazy & Seun1401)","2025","0","","","","","8A","113.0000","6:13","320","-6.99096 dB","mp3","2025-08-03T17:03:30.951","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Madibuseng (feat. Uncool MC, LeeMcKrazy & Seun1401).mp3","",""
"0","","","Presido La Pluto","Shallipopi/ODUMODUBLVCK","Cast","2023","0","","","","","1B","113.0000","2:09","320","-9.97893 dB","mp3","2025-08-03T17:03:30.964","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Cast.mp3","",""
"0","","","Funk Series","Shakes & Les/LeeMcKrazy","Funk 99","2024","0","","","","","12A","113.0000","6:17","320","-1.00443 dB","mp3","2025-08-03T17:03:30.978","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Funk 99.mp3","",""
"0","","","Funk Series","Shakes & Les/Ceeka RSA","Funk 66","2024","5","","","","","5A","113.0000","5:21","320","-1.40675 dB","mp3","2025-08-03T17:03:30.991","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Funk 66.mp3","",""
"0","","","Presido La Pluto","Shallipopi","More Than Me","2023","0","","","","","3B","110.0000","2:36","320","-10.8174 dB","mp3","2025-08-03T17:03:31.005","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/More Than Me.mp3","",""
"0","","","ROUGH DANCE","DJ Maphorisa/Xduppy/Scotts Maphuma/LeeMcKrazy/LastBornDiroba/Mr Pilato","Uze Wedwa (feat. LeeMcKrazy, LastBornDiroba & Mr Pilato)","2025","0","","","","","9A","112.0000","7:13","320","-1.16465 dB","mp3","2025-08-03T17:03:31.018","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Uze Wedwa (feat. LeeMcKrazy, LastBornDiroba & Mr Pilato).mp3","",""
"0","","","Khekheleza (Dlala Dlala) [feat. Thama Tee & Eeque]","Focalistic/Eeque/Thama Tee","Khekheleza (Dlala Dlala) [feat. Thama Tee & Eeque]","2023","0","","","","","6A","112.0000","5:29","320","-9.41566 dB","mp3","2025-08-03T17:03:31.031","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Khekheleza (Dlala Dlala) [feat. Thama Tee & Eeque].mp3","",""
"0","","","Presido La Pluto","Shallipopi","Eazy","2023","0","","","","","9B","114.0000","2:42","320","-8.01584 dB","mp3","2025-08-03T17:03:31.044","../../../Volumes/Macintosh HD/Users/eliezer/Documents/DjZeze/Amapiano-afrobeat-kuduro/Eazy.mp3","",""
